,Fold,Epoch,Validation Counterfactual Invariance,Model
0,0,0,1.0,Pareto
1,0,1,1.0,Pareto
2,0,2,1.0,Pareto
3,0,3,1.0,Pareto
4,0,4,1.0,Pareto
5,0,0,1.0,Regularized_Selection_0.2
6,0,1,0.9989969909729187,Regularized_Selection_0.2
7,0,2,1.0,Regularized_Selection_0.2
8,0,3,1.0,Regularized_Selection_0.2
9,0,4,1.0,Regularized_Selection_0.2
10,0,0,1.0,Regularized_Selection_0.5
11,0,1,0.9989969909729187,Regularized_Selection_0.5
12,0,2,1.0,Regularized_Selection_0.5
13,0,3,1.0,Regularized_Selection_0.5
14,0,4,1.0,Regularized_Selection_0.5
15,0,0,1.0,Regularized_Selection_0.7
16,0,1,0.9979939819458375,Regularized_Selection_0.7
17,0,2,0.9989969909729187,Regularized_Selection_0.7
18,0,3,1.0,Regularized_Selection_0.7
19,0,4,1.0,Regularized_Selection_0.7
20,0,0,1.0,Decoupled_Classifier_0.2
21,0,1,0.9909729187562688,Decoupled_Classifier_0.2
22,0,2,0.9929789368104313,Decoupled_Classifier_0.2
23,0,3,0.9989969909729187,Decoupled_Classifier_0.2
24,0,4,0.994005994005994,Decoupled_Classifier_0.2
25,0,0,1.0,Decoupled_Classifier_0.5
26,0,1,0.9809428284854563,Decoupled_Classifier_0.5
27,0,2,0.9919759277833501,Decoupled_Classifier_0.5
28,0,3,0.9989969909729187,Decoupled_Classifier_0.5
29,0,4,0.994005994005994,Decoupled_Classifier_0.5
30,0,0,1.0,Decoupled_Classifier_0.7
31,0,1,0.9939819458375125,Decoupled_Classifier_0.7
32,0,2,1.0,Decoupled_Classifier_0.7
33,0,3,0.9989969909729187,Decoupled_Classifier_0.7
34,0,4,0.995004995004995,Decoupled_Classifier_0.7
35,0,0,1.0,RandomForestClassifier_0
36,0,1,1.0,RandomForestClassifier_0
37,0,2,0.9989969909729187,RandomForestClassifier_0
38,0,3,1.0,RandomForestClassifier_0
39,0,4,1.0,RandomForestClassifier_0
40,0,0,1.0,RPT_RandomForestClassifier_0
41,0,1,1.0,RPT_RandomForestClassifier_0
42,0,2,1.0,RPT_RandomForestClassifier_0
43,0,3,1.0,RPT_RandomForestClassifier_0
44,0,4,1.0,RPT_RandomForestClassifier_0
45,0,0,0.9979939819458375,Massage_RandomForestClassifier_0
46,0,1,0.9989969909729187,Massage_RandomForestClassifier_0
47,0,2,1.0,Massage_RandomForestClassifier_0
48,0,3,1.0,Massage_RandomForestClassifier_0
49,0,4,1.0,Massage_RandomForestClassifier_0
50,0,0,1.0,RandomForestClassifier_1
51,0,1,0.995987963891675,RandomForestClassifier_1
52,0,2,0.9989969909729187,RandomForestClassifier_1
53,0,3,0.9989969909729187,RandomForestClassifier_1
54,0,4,1.0,RandomForestClassifier_1
55,0,0,1.0,RPT_RandomForestClassifier_1
56,0,1,1.0,RPT_RandomForestClassifier_1
57,0,2,1.0,RPT_RandomForestClassifier_1
58,0,3,1.0,RPT_RandomForestClassifier_1
59,0,4,0.999000999000999,RPT_RandomForestClassifier_1
60,0,0,1.0,Massage_RandomForestClassifier_1
61,0,1,1.0,Massage_RandomForestClassifier_1
62,0,2,0.9989969909729187,Massage_RandomForestClassifier_1
63,0,3,1.0,Massage_RandomForestClassifier_1
64,0,4,1.0,Massage_RandomForestClassifier_1
65,0,0,0.9989969909729187,RandomForestClassifier_2
66,0,1,1.0,RandomForestClassifier_2
67,0,2,1.0,RandomForestClassifier_2
68,0,3,1.0,RandomForestClassifier_2
69,0,4,1.0,RandomForestClassifier_2
70,0,0,0.9989969909729187,RPT_RandomForestClassifier_2
71,0,1,1.0,RPT_RandomForestClassifier_2
72,0,2,1.0,RPT_RandomForestClassifier_2
73,0,3,1.0,RPT_RandomForestClassifier_2
